"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-01","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-02","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-03","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-04","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-05","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-06","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-07","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-08","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-09","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-10","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-11","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-12","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-13","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-14","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-15","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-16","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-17","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-18","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-19","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-20","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-21","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-22","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-23","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-24","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-25","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-26","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-27","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-28","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-29","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-30","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-01-31","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-01","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-02","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-03","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-04","12"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-05","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-06","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-07","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-08","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-09","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-10","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-11","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-12","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-13","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-14","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-15","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-16","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-17","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-18","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2023-02-19","40"
