,period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,county,latitude,longitude,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,operating-year-month,planned-derate-summer-cap-mw,planned-derate-year-month,planned-retirement-year-month,planned-uprate-summer-cap-mw,planned-uprate-year-month,nameplate-capacity-mw-units,net-summer-capacity-mw-units,net-winter-capacity-mw-units,planned-derate-summer-cap-mw-units,planned-uprate-summer-cap-mw-units
0,2022-11,WA,Washington,ipp-non-chp,IPP Non-CHP,56613,Frederickson Power LP,55818,Frederickson Power LP,FICT,FP1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,BPAT,Bonneville Power Administration,OP,Operating,Pierce,47.086111,-122.365674,192.0,164.0,180.0,2002-08,,,,,,MW,MW,MW,MW,MW
1,2022-11,WA,Washington,ipp-non-chp,IPP Non-CHP,56613,Frederickson Power LP,55818,Frederickson Power LP,FIST,FP1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,BPAT,Bonneville Power Administration,OP,Operating,Pierce,47.086111,-122.365674,126.3,82.0,85.0,2002-08,,,,,,MW,MW,MW,MW,MW
2,2022-11,WA,Washington,electric-utility,Electric Utility,56621,Yakama Power,6507,Drop 2 (WA),1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OS,Out of service and NOT expected to return to service in next calendar year,Yakima,46.4492,-120.5342,2.5,2.1,2.1,1942-08,,,,,,MW,MW,MW,MW,MW
3,2022-11,WA,Washington,electric-utility,Electric Utility,56621,Yakama Power,6508,Drop 3 (WA),1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OS,Out of service and NOT expected to return to service in next calendar year,Yakima,46.423133,-120.559997,0.8,0.5,0.5,1932-05,,,,,,MW,MW,MW,MW,MW
4,2022-11,WA,Washington,electric-utility,Electric Utility,56621,Yakama Power,6508,Drop 3 (WA),2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OS,Out of service and NOT expected to return to service in next calendar year,Yakima,46.423133,-120.559997,0.8,0.5,0.5,1932-05,,,,,,MW,MW,MW,MW,MW
5,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1942-04,,,,,,MW,MW,MW,MW,MW
6,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,10,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1951-09,,,,,,MW,MW,MW,MW,MW
7,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6395,Anderson Ranch,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Elmore,43.357066,-115.451517,20.0,20.0,20.0,1950-12,,,,,,MW,MW,MW,MW,MW
8,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6395,Anderson Ranch,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Elmore,43.357066,-115.451517,20.0,20.0,20.0,1951-07,,,,,,MW,MW,MW,MW,MW
9,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6396,Black Canyon,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Gem,43.930462,-116.437172,5.1,5.1,5.1,1925-12,,,,,,MW,MW,MW,MW,MW
